"behavior","load","metric_name","mono_file","mono_users_total","mono_throughput_per_sec","mono_avg_ms","mono_p95_ms","mono_count","mono_err","micro_file","micro_users_total","micro_throughput_per_sec","micro_avg_ms","micro_p95_ms","micro_count","micro_err"
"Login_4Node","10","login","monolithic_perf_scenario104.log","10","0.08333333333333333","33.232","50","10","0","scaledx_4_scenario_4_users_10.log","10","0.08333333333333333","37.852","50","10","0"
"Login_4Node","100","login","monolithic_perf_scenario105.log","100","0.8333333333333334","85.629","200","100","0","scaledx_4_scenario_5_users_100.log","100","0.8333333333333334","69.35","100","100","0"
"Login_4Node","1000","login","monolithic_perf_scenario106.log","1000","8.333333333333334","117.142","200","1000","0","scaledx_4_scenario_6_users_1000.log","1000","8.333333333333334","76.349","200","1000","0"
"Login_4Node","5000","login","monolithic_perf_scenario107.log","5000","41.666666666666664","99.268","200","5000","0","scaledx_4_scenario_7_users_5000.log","5000","41.666666666666664","60.91","100","5000","0"
